"","X","bigram","bigram_d_freq","bigram_r_freq","chisq()"
"275083",275083,"made laid",422,66,1.42071394547268e-05
"325452",325452,"reconsid consid",390,53,1.40243091236298e-05
"131476",131476,"democrat republican",869,318,1.3992507728027e-05
"17974",17974,"al qaeda",124,529,1.3741282076064e-05
"342051",342051,"senat republican",600,163,1.36921402494519e-05
"305824",305824,"peopl disabl",307,21,1.36420893851311e-05
"271547",271547,"loan debt",341,37,1.33745513805183e-05
"157146",157146,"energi effici",635,189,1.32061722640336e-05
"329746",329746,"republican friend",291,18,1.3194381331167e-05
"44641",44641,"balanc time",2197,3353,1.31755706599483e-05
"328557",328557,"repeal afford",286,17,1.30642356580388e-05
"175745",175745,"fairfax counti",256,6,1.30496789199789e-05
"387061",387061,"work togeth",1825,1004,1.30357330251709e-05
"386405",386405,"work famili",609,180,1.2760603132504e-05
"267152",267152,"let us",835,317,1.27423428307946e-05
"205133",205133,"go confer",629,192,1.27248917885531e-05
"157673",157673,"enforc law",129,512,1.25189995237759e-05
"304798",304798,"pay bill",594,176,1.2413521698131e-05
"335240",335240,"rule law",222,669,1.22679892377999e-05
"53612",53612,"bill hr",148,540,1.22184162666946e-05
"188970",188970,"follow leader",283,22,1.22180893599159e-05
"385484",385484,"women health",283,22,1.22180893599159e-05
"368807",368807,"took offic",59,365,1.20809738801015e-05
"69252",69252,"care plan",94,436,1.20726833504413e-05
"198235",198235,"futur accomplish",223,1,1.20358877290986e-05
"263699",263699,"leader remark",286,26,1.18526207931584e-05
"219379",219379,"health center",263,17,1.18231639171135e-05
"307639",307639,"permit speak",339,50,1.17454646370392e-05
"313631",313631,"presid promis",5,228,1.16754658073165e-05
"230152",230152,"hous republican",992,440,1.16408323645517e-05
"341511",341511,"senat democrat",190,600,1.16405705318809e-05
"7914",7914,"ad debt",6,230,1.16306641793512e-05
"169189",169189,"exhibit dedic",221,3,1.16060694837611e-05
"341951",341951,"senat permit",326,46,1.15291379680247e-05
"361594",361594,"tax increas",77,390,1.14761909323544e-05
"373259",373259,"unemploy benefit",538,158,1.13498302140856e-05
"315697",315697,"proceed vote",329,49,1.1346139502171e-05
"350484",350484,"speaker rise",4017,2828,1.13023247685781e-05
"330773",330773,"reserv balanc",963,1701,1.11855327376832e-05
"44016",44016,"background check",589,190,1.11799977679233e-05
"156321",156321,"end hunger",218,5,1.11294708798812e-05
"356307",356307,"student debt",237,12,1.11220919314208e-05
"64317",64317,"busi senat",346,60,1.10212423923872e-05
"284730",284730,"million american",1701,970,1.09455906553801e-05
"15822",15822,"agre motion",305,42,1.09044845578815e-05
"322132",322132,"rais tax",84,392,1.09023636697717e-05
"64253",64253,"busi record",7,219,1.08788635015122e-05
"304759",304759,"paus recogn",3,207,1.08407893326258e-05
"312658",312658,"preexist condit",498,142,1.08330339125248e-05
"339032",339032,"scout earn",2,203,1.07809740281143e-05
"149620",149620,"educ develop",217,8,1.0620140817096e-05
"101958",101958,"consent request",450,118,1.06158849167436e-05
"369957",369957,"train wreck",10,222,1.05975170617384e-05
"329895",329895,"republican senat",508,151,1.05798996821946e-05
"276867",276867,"make sure",3272,2242,1.05281867891479e-05
"303806",303806,"pass clean",218,9,1.05265724461726e-05
"321948",321948,"radic islamist",4,204,1.05200177759686e-05
"127718",127718,"dedic demonstr",195,1,1.05042952620415e-05
"349663",349663,"south carolina",265,694,1.04986543334791e-05
"313839",313839,"presid unit",337,805,1.04922253515539e-05
"189132",189132,"follow senat",80,374,1.04151245939801e-05
"38983",38983,"attain hard",192,1,1.03401987490279e-05
"258308",258308,"kill american",24,252,1.0303435215724e-05
"361623",361623,"tax loophol",227,14,1.02982342325806e-05
"301802",301802,"overcom advers",197,3,1.02942116093412e-05
"276397",276397,"make educ",208,7,1.02795389989714e-05
"263412",263412,"leader designe",251,24,1.02503909479593e-05
"319278",319278,"proudli ask",3,196,1.0239556461768e-05
"376954",376954,"ve ad",3,196,1.0239556461768e-05
"223438",223438,"higher educ",694,270,1.02021676931411e-05
"83722",83722,"clean energi",280,37,1.01900353795098e-05
"270908",270908,"live extend",192,2,1.01794650746258e-05
"267615",267615,"level rise",189,1,1.01761028378803e-05
"62259",62259,"build conduct",299,46,1.01495086815407e-05
"219376",219376,"health care",4640,6047,1.01391425951846e-05
"128454",128454,"defeat previou",191,2,1.01247838467703e-05
"135090",135090,"determin hard",196,4,1.00830539049515e-05
"305147",305147,"paycheck fair",233,18,1.00745124343267e-05
"172013",172013,"extend deepest",335,64,1.00690857894189e-05
"183907",183907,"finest qualiti",1,187,1.00667059111069e-05
"4546",4546,"across countri",2001,1230,1.00661509985699e-05
"333379",333379,"right act",410,103,1.00504717985771e-05
"147444",147444,"earn prestigi",3,192,1.00209410062524e-05
"148626",148626,"economi children",3,192,1.00209410062524e-05
"282029",282029,"medic devic",67,338,9.91991740408865e-06
"61403",61403,"budget amend",25,247,9.91193356835324e-06
"391808",391808,"young peopl",960,454,9.90604038593696e-06
"177110",177110,"famili peer",1,183,9.84791292840003e-06
"332192",332192,"rest live",221,15,9.83655263701667e-06
"314560",314560,"princ william",199,7,9.789375936366e-06
"287669",287669,"mr chairman",2045,2992,9.74232392539234e-06
"94001",94001,"commun notabl",2,184,9.74202245739111e-06
"93568",93568,"commun eagl",1,181,9.73851689002743e-06
"223596",223596,"highest distinct",1,181,9.73851689002743e-06
"93248",93248,"commun across",328,64,9.72626225314787e-06
"315648",315648,"proceed consider",297,49,9.72412110010356e-06
"386079",386079,"work allow",216,14,9.70499336559861e-06
"287234",287234,"motion order",189,4,9.70075661811573e-06
"333216",333216,"revis extend",219,600,9.69617361305628e-06
"350773",350773,"special young",3,186,9.69303411340793e-06
"371194",371194,"troop earn",2,183,9.68734333719415e-06
"254206",254206,"januari day",6,194,9.6673029843914e-06
"172148",172148,"extend remark",219,599,9.65713270306717e-06
"224892",224892,"histori month",242,25,9.64782517873114e-06
"143348",143348,"domest violenc",563,197,9.64231933191825e-06
"7135",7135,"activ troop",3,185,9.63838497512729e-06
"325887",325887,"reduc deficit",446,128,9.63764356024614e-06
"136132",136132,"develop work",211,13,9.57420141489289e-06
"355887",355887,"strive make",208,12,9.55233542964195e-06
"125723",125723,"debt nation",14,213,9.54334368354394e-06
"327810",327810,"religi freedom",102,396,9.49493563689216e-06
"271490",271490,"lo angel",448,131,9.49442333855209e-06
"320414",320414,"public servic",951,459,9.39202992908247e-06
"172756",172756,"extrem weather",231,23,9.3178102783678e-06
"303326",303326,"particip mani",10,198,9.29548770684585e-06
"257526",257526,"keep doctor",6,187,9.28579949060889e-06
"189485",189485,"food tabl",294,52,9.25929090963945e-06
"359267",359267,"suspend rule",106,398,9.25469298551998e-06
"368023",368023,"today ve",11,199,9.20696025981175e-06
"348184",348184,"snap benefit",219,19,9.19398020358251e-06
"25289",25289,"america troop",5,182,9.1648264335937e-06
"36125",36125,"ask immedi",30,244,9.14320314686356e-06
"335794",335794,"ryan budget",253,34,9.14172235473469e-06
"349947",349947,"speak minut",360,87,9.12101702496553e-06
"312884",312884,"prescript drug",348,81,9.09055289792827e-06
"391097",391097,"year trillion",27,236,9.08569068864525e-06
"44463",44463,"balanc budget",281,680,9.06275231531993e-06
"172185",172185,"extend unemploy",323,69,9.00337946975562e-06
"24560",24560,"america effort",5,179,9.00118982671897e-06
"125866",125866,"debt today",17,210,8.97654122038151e-06
"6985",6985,"activ part",12,197,8.95812280386957e-06
"264225",264225,"leadership take",10,191,8.91621933330746e-06
"314311",314311,"previou question",455,143,8.90506485886493e-06
"350296",350296,"speaker januari",14,201,8.89743321341136e-06
"55880",55880,"black caucu",193,11,8.88244098685766e-06
"292506",292506,"new mexico",402,113,8.87187813020713e-06
"120416",120416,"cut snap",168,2,8.86719316221375e-06
"360163",360163,"take activ",12,195,8.8501702963278e-06
"157279",157279,"energi natur",302,60,8.85004822889424e-06
"60690",60690,"broken immigr",336,78,8.79556580564293e-06
"315682",315682,"proceed period",199,14,8.78989706895441e-06
"101782",101782,"consent adjourn",172,4,8.77253183026643e-06
"230156",230156,"hous resolut",51,280,8.66693841121202e-06
"328519",328519,"reopen govern",323,73,8.63394176734782e-06
"246190",246190,"institut health",366,96,8.63199946084034e-06
"145714",145714,"drone strike",11,188,8.61217923677764e-06
"25586",25586,"american citizen",221,573,8.53686795648572e-06
"338705",338705,"school receiv",223,26,8.52616821267183e-06
"309923",309923,"pm senat",204,18,8.52497401487087e-06
"260193",260193,"koch brother",181,9,8.5177067212497e-06
"331487",331487,"respect famili",11,186,8.50412092747441e-06
"332607",332607,"resum legisl",167,4,8.49959117011259e-06
"335436",335436,"rule xxii",201,17,8.4957007643795e-06
"320636",320636,"purpos debat",3,164,8.49090778241515e-06
"386783",386783,"work persever",198,16,8.46737828302462e-06
"315643",315643,"proceed calendar",160,2,8.42981189564295e-06
"3969",3969,"achiev highest",12,187,8.41865329650851e-06
"222776",222776,"heritag month",168,5,8.40133091968842e-06
"361521",361521,"tax credit",834,399,8.3957521030757e-06
"6942",6942,"activ mani",14,191,8.36011819823253e-06
"317042",317042,"program help",413,126,8.35993131766885e-06
"226683",226683,"homeland secur",1952,1253,8.3409850454646e-06
"309758",309758,"pleas contact",172,7,8.32020421153224e-06
"328123",328123,"remark senat",329,80,8.29277684371995e-06
"361523",361523,"tax cut",274,52,8.27010397183976e-06
"294016",294016,"notifi senat",168,6,8.25087087149784e-06
"325455",325455,"reconsid laid",231,32,8.2370467013356e-06
"314710",314710,"prior vote",196,17,8.22898734803122e-06
"101093",101093,"congression black",178,10,8.21258838117355e-06
"147421",147421,"earn numer",10,178,8.21258838117355e-06
"125905",125905,"debt year",12,183,8.20308322734037e-06
"89967",89967,"come togeth",995,519,8.18726553992753e-06
"313989",313989,"prestigi award",46,260,8.18706551555625e-06
"295643",295643,"obama took",36,238,8.14654688629183e-06
"21986",21986,"also respect",17,194,8.12239238463012e-06
"289779",289779,"nation institut",419,133,8.10626838750143e-06
"15881",15881,"agre preambl",228,32,8.08276304996348e-06
"329904",329904,"republican shutdown",162,5,8.0742404200745e-06
"313539",313539,"presid move",282,58,8.07309518363286e-06
"122010",122010,"date time",221,30,7.95085534054454e-06
"249896",249896,"invest infrastructur",188,16,7.93316429643754e-06
"324987",324987,"recogn applaud",285,61,7.9331019172541e-06
"332606",332606,"resum consider",211,26,7.89979128169769e-06
"111892",111892,"counti receiv",152,3,7.83536796762556e-06
"341752",341752,"senat juli",149,2,7.82845726816276e-06
"335294",335294,"rule pass",109,370,7.77985955365285e-06
"391652",391652,"york citi",394,123,7.77096936969663e-06
"262701",262701,"law school",436,148,7.7696396797225e-06
"367637",367637,"today honor",1202,685,7.74941455856859e-06
"309922",309922,"pm room",172,11,7.74854011350807e-06
"330961",330961,"resolut agre",271,56,7.73306768866501e-06
"165640",165640,"everi day",1439,868,7.73204387086777e-06
"145462",145462,"drink water",288,65,7.706519521756e-06
"229410",229410,"hous adjourn",44,246,7.69708896751701e-06
"101961",101961,"consent resolut",216,30,7.69327933343272e-06
"25776",25776,"american energi",52,261,7.63432328122343e-06
"285427",285427,"minut gentlewoman",340,94,7.62791194952551e-06
"312580",312580,"preambl agre",219,32,7.62132234323352e-06
"234580",234580,"immedi notifi",164,9,7.59689771333186e-06
"315638",315638,"proceed approv",207,27,7.57442357184854e-06
"330840",330840,"reserv use",209,28,7.56187179487796e-06
"344944",344944,"sexual orient",197,23,7.52828268085797e-06
"256465",256465,"journal proceed",206,27,7.52264473309796e-06
"312568",312568,"prayer pledg",208,28,7.51023436326091e-06
"389676",389676,"xxii waiv",143,2,7.50047112794068e-06
"25725",25725,"american disabl",172,13,7.47552659893182e-06
"138867",138867,"disabl act",156,7,7.45081329127456e-06
"283071",283071,"member legisl",14,174,7.44905975616648e-06
"36148",36148,"ask join",51,255,7.43979645592167e-06
"276206",276206,"make america",369,113,7.43805215606027e-06
"263707",263707,"leader reserv",204,27,7.41916306590438e-06
"107343",107343,"control two",147,4,7.40821521942988e-06
"293704",293704,"northern virginia",173,14,7.39557525192896e-06
"380513",380513,"war terror",46,244,7.39527193124538e-06
"240373",240373,"increas minimum",225,37,7.37964562796373e-06
"284061",284061,"middl east",347,727,7.35534933276377e-06
"190638",190638,"foreign relat",384,123,7.35021387437526e-06
"313706",313706,"presid said",185,485,7.34849664480136e-06
"45132",45132,"baptist church",448,162,7.3355317173474e-06
"78611",78611,"child care",306,79,7.32175187840948e-06
"341441",341441,"senat complet",213,32,7.3149567334577e-06
"125171",125171,"debat motion",156,8,7.30631436931673e-06
"32388",32388,"approv date",204,28,7.30394910342667e-06
"207201",207201,"goe say",45,240,7.2987083396674e-06
"110132",110132,"could avoid",29,206,7.29288103505445e-06
"329877",329877,"republican refus",142,3,7.28920087837342e-06
"234899",234899,"immigr law",136,404,7.27618165761484e-06
"304859",304859,"pay equal",150,6,7.27141560238755e-06
"12114",12114,"affair author",201,27,7.26413559037982e-06
"154228",154228,"emerg unemploy",218,35,7.24106664560224e-06
"132275",132275,"depart homeland",1003,550,7.22897496713469e-06
"295702",295702,"obamacar exchang",2,138,7.22716521352819e-06
"366419",366419,"time equal",172,15,7.21069318400367e-06
"286850",286850,"month recogn",143,4,7.19002886395241e-06
"189066",189066,"follow prayer",208,31,7.17082601779014e-06
"211991",211991,"great lake",324,91,7.15629904625505e-06
"161547",161547,"equal work",153,8,7.14379246151105e-06
"376055",376055,"use later",205,30,7.12900129906931e-06
"254508",254508,"jefferson counti",163,12,7.12746148532112e-06
"313711",313711,"presid say",58,262,7.11431080955113e-06
"284766",284766,"million children",246,50,7.09973828253398e-06
"122762",122762,"day follow",213,34,7.09626544611799e-06
"297637",297637,"oil compani",193,25,7.08242729128801e-06
"95970",95970,"complet busi",204,30,7.07787802658291e-06
"353008",353008,"state congress",147,417,7.07093263043056e-06
"341321",341321,"senat april",135,2,7.06318928987569e-06
"341276",341276,"senat action",181,20,7.05464794538209e-06
"390683",390683,"year old",703,337,7.04641821529218e-06
"209672",209672,"govern open",393,133,7.03053418196318e-06
"337094",337094,"sandi hook",194,26,7.01804235647164e-06
"93750",93750,"commun health",187,23,7.00629252908264e-06
"320962",320962,"put food",242,49,7.00234361197537e-06
"36832",36832,"assault weapon",153,9,7.00210621166689e-06
"333809",333809,"right movement",211,34,6.99521624805397e-06
"242100",242100,"individu mandat",88,315,6.99473262751542e-06
"168720",168720,"execut branch",211,515,6.9637419666252e-06
"123132",123132,"day presid",45,233,6.95492390946055e-06
